DocId,DocTextlen,DocText,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,INTJ,DocType,FileSize,FilePath,DocCat
B_014,2971,telegraph newspaper axe 90 job daily sunday telegraph newspaper axe 90 journalist job 17 editorial staff the_telegraph_group say cut need fund £ 150 m investment new printing facility journalist firm meet friday afternoon discuss react surprise announcement cut come background fierce competition reader sluggish advertising revenue amid competition online advertising the_national_union_of_journalists call management recall notice redundancy midday monday face strike ballot pearson's financial_times say week offer voluntary redundancy 30 reporter the_national_union_of_journalists say stand strongly journalist rule strike manager tear agree procedure kick staff tooth sack people pay print facility say jeremy_dear nuj general secretary nuj official barry_fitzpatrick say company ignore 90 day consultation period require company plan 10 redundancy show complete disregard consultative right member say mr fitzpatrick add company plan observe consultation procedure telegraph title currently employ 521 journalist broadsheet newspaper especially move tabloid format suffer circulation decline hit revenue telegraph announce plan tabloid the_independent_and_the_times see circulation rise shrink size guardian hedge bet plan large tabloid format like popular continental europe the_telegraph_group buy barclay twin frederick david_-_last_year having previously own lord_conrad_black's hollinger_international brother currently mull sale business retailer littlewoods telegraph executive murdoch_maclennan say newspaper add colour page come month journalist lifeblood newspaper maintain quality the_daily_telegraph the_sunday_telegraph reader vital say action improve production capability secure title competition vital newspaper invest new printing machinery enable print colour page case colour page hope boost colour publication attractive advertiser reader alike recent month news_corp's news_international unit publish sun the_news_of_the_world the_guardian_media_group trinity_mirror the_daily_mail_&_general_trust announce substantial investment new printing plant,28,45,11.0,26.0,14.0,38,104,11.0,11.0,24.0,41,51,5.0,1.0,62,0.0,0.0,Business,2981,../input/bbc-full-text-document-classification/bbc/business/014.txt,0
B_015,3797,air passenger win new eu right air passenger unable board flight overbooking cancellation flight delay demand great compensation new eu rule set compensation 250 euro £ 173 600 euro depend length flight new rule apply scheduled charter flight include budget airline airline attack legislation say force push price higher cover extra cost the_european_commission face legal challenge european low fare airlines_association elaa the_international_air_transport_association iata attack package bad piece legislation previously passenger claim 150 euro 300 euro stop boarding schedule flight operator oblige offer compensation case overbooking offer compensation flight cancellation eu decide increase passenger compensation bid deter airline deliberately overbooke flight overbooking lead bump passenger move later flight happen passenger airline offer compensation addition flight cancel delay hour fault airline passenger pay compensation airline offer compensation flight cancel delay extraordinary circumstance airline fear extraordinary circumstance include bad weather security alert strike event outside control eu base airline operator flight eu adhere new compensation regime come force thursday low cost airline criticise new compensation level argue pay worth ticket preposterous piece legislation airline fight ryanair deputy chief executive michael_cawley tell radio_4's today programme the_european_regions_airline_association eraa claim airline consumer consult change andy_clarke eraa director air_transport say ec advice mislead customer lead believe airline liable payout flight delay bad weather ec spokeswoman marja_quillinan-meiland concede grey area say big airline make case dispute national enforcement body decide passenger case say new technology mean easy airline land bad weather add eraa mr clarke warn airline comply new rule extra cost pass passenger reckon go cost european air passenger airline airline money pay passenger 1.5bn euro £ 1bn year load european passenger mr clarke say basically transfer money passenger journey disrupt passenger journey disrupt wednesday jacques_barrot vice president the_european_commission commissioner transport say change necessary boom air travel need accompany proper protection passenger right concrete example union benefit people daily life add ec launch information campaign airport travel agency inform airline passenger new right,41,62,14.0,50.0,16.0,48,155,9.0,26.0,29.0,37,95,21.0,2.0,86,0.0,0.0,Business,3808,../input/bbc-full-text-document-classification/bbc/business/015.txt,0
B_016,1390,china keep tight rein credit china effort stop economy overheat clamp credit continue 2005 state medium report curb introduce early year ward risk rapid expansion lead soar price fear stress place fragile banking system growth china remain breakneck 9.1 corporate investment grow 25 year breakneck pace economic expansion keep growth 9 year rapid tooling china manufacturing sector mean massive demand energy factor keep world oil price sky high year theory government 7 growth target continue insist overshoot mean hard landing shape overbalance economy low exchange rate china yuan peg rate 8.28 dollar relentless decline mean chinese export cheap world market china far resist international pressure break link shift level peg extent credit control take effect industrial output grow 15.7 year october 23 february inflation slow 4.3 retail sale boom,21,38,7.0,16.0,4.0,25,73,10.0,11.0,5.0,8,27,4.0,0.0,33,0.0,0.0,Business,1393,../input/bbc-full-text-document-classification/bbc/business/016.txt,0
B_017,1294,parmalat boasts double profit parmalat italian food group centre europe painful corporate scandal report doubling profit pre tax earning fourth quarter 77 m euro £ 53 m $ 100 m 38 m period 2003 welcome news firm fine 11 m euro having violate takeover rule year ago firm seek bankruptcy protection december 2003 disclose 4bn euro hole account overall company debt close 12bn euro fall slowly brand know italy overseas continue perform strongly barely lose revenue scandal break crucial factor company future legal unwinding intensely complex financial position tuesday company administrator turnaround expert enrico_bondi sue morgan_stanley banker return 136 m euro relate 2003 bond deal bring 49 number bank mr bondi sue mass legal action bring 3bn euro company sue auditor financial advisor damage criminal case company management proceed separately,24,25,16.0,16.0,6.0,20,58,13.0,7.0,8.0,11,31,2.0,2.0,20,0.0,0.0,Business,1299,../input/bbc-full-text-document-classification/bbc/business/017.txt,0
B_018,998,india rupee hit year high india rupee hit year high standard_&_poor's s&p raise country foreign currency rating rupee climb 43.305 dollar thursday close 43.41 currency gain 1 past session s&p rate borrower creditworthiness lift india rating notch bb+ indian asset see gamble cash expect flow market buoy rupee upgrade positive basically people use excuse come india say bhanu_baweja strategist ubs money move india week january market like korea thailand upgrade lead reversal india foreign currency rating notch investment grade start bbb- increase level romania egypt el_salvador level russia,12,27,6.0,9.0,6.0,16,40,11.0,9.0,5.0,20,29,0.0,0.0,20,1.0,0.0,Business,1002,../input/bbc-full-text-document-classification/bbc/business/018.txt,0
B_019,1728,india widen access telecom india raise limit foreign direct investment telecom company 49 74 communications minister dayanidhi_maran say need fund fast grow mobile market government hope increase number mobile user 95 million 200 250 million 2007 need $ 20bn £ 10.6bn investment come foreign direct investment say mr_maran decision raise limit foreign investor face considerable opposition communist party crucial support coalition head prime minister manmohan_singh potential foreign investor need government approval increase stake 49 mr maran say key position chief executive chief technology officer chief financial officer hold indians add analyst investor welcome government decision positive development carrier investment community look long term view huge growth indian telecom market say gartner principal analyst kobita_desai fdi relaxation couple rapid local market growth ignite interest indian telecommunication industry add ernst young sanjay_mehta investment bank morgan_stanley forecast india mobile market likely grow 40 year 2007 indian mobile market currently dominate company bharti_televentures ally singapore_telecom essar link hong_kong base hutchison_whampoa sterling group tata group,30,30,7.0,12.0,7.0,21,61,12.0,11.0,12.0,30,35,3.0,2.0,34,0.0,0.0,Business,1733,../input/bbc-full-text-document-classification/bbc/business/019.txt,0
B_020,3842,centre user lose patience customer try centre get impatient quick hang survey suggest past welcome message caller average hang 65 second listen canned music drop patience come number call centre grow rate 20 year customer getting idea available society say cara_diemont firm dimension_data commission survey centre see sharp increase customer simply abandon call say 5 2003 record 13.3 year automate phone message system take equation customer pick way multiple option message number abandon call high sixth caller wait possible reason lack patience ms_diemont say fact customer call mobile phone surge customer try centre reflection centre grow range task centre look mortgage agent responsible credit card insurance current account ms_diemont say problem occur increase responsibility go hand hand training survey find dimension_data call alarming development average induction time centre worker fall year 36 21 day leave agent equip deal customer ms_diemont warn scary good line poor training frustrate centre worker customer result centre high churn rate nearly quarter worker throw towel year turn force company pay train new staff resolution rate number call customer query resolve mutual satisfaction run 50 query pass second person specialist manager rate rise 70 industry target 85 resolution rate suggestion outsource relocate centre low cost country like india south_africa blame wrong ms_diemont say big difference wait time resolution centre base europe north america develop country world centre perform good management right process place say company decide offshore operation drive cost consideration 42 save money main consideration close domestic centre operation half argue worker country offer well skill money everybody believe outsourcing offshoring solution nearly third firm poll survey plan offshore centre key reason make centre operation business core function worried risk go abroad fear damage brand join offshore drive survey conduct sunovate behalf dimension_data base depth questionnaire 166 centre 24 country continent experience centre happy listen vivaldi greensleeves want immediate response work centre training prepare job,42,89,26.0,36.0,20.0,54,191,17.0,20.0,36.0,17,104,16.0,0.0,89,0.0,0.0,Business,3854,../input/bbc-full-text-document-classification/bbc/business/020.txt,0
B_021,2037,rank set sell film unit leisure group rank unveil plan demerge film service unit sell medium business report claim rank famous carry series expose shake announcement result friday the_sunday_telegraph report advisors goldman_sachs understand value demerge deluxe_film unit £ 300 m report add speculation possible shake mount rank announce study possible demerger september mike_smith's appointment chief executive 1999 group focus few business embark major cost cut programme see dispose number business include odeon cinema chain pinewood studio leave group core division gaming hard rock deluxe films provide technical service hollywood studio rank aim concentrate gaming bar hotel business include extend hard rock brand casino trial success own deluxe_media make distribute dvd video business see successful year profit £ 21.5 m turnover £ 392.1 m expert suggest success move dvd vhs video attractive target private equity buyer spokesman firm refuse comment report say result demerger study likely set unveil result friday analyst predict firm likely report slight drop annual pre tax profit £ 170 m £ 194 m year form 1940 firm lead uk film producer cinema owner year diversify range leisure activity mainly uk include hotel roadside service area holiday centre own 34 grosvenor casino mecca_bingo chain 100 hard rock cafes 38 country,22,44,8.0,16.0,12.0,32,96,11.0,8.0,20.0,35,39,3.0,3.0,46,0.0,0.0,Business,2046,../input/bbc-full-text-document-classification/bbc/business/021.txt,0
B_022,1926,"sluggish economy hit german job number people work europe large economy rise tenth straight month growth remain stubbornly slow german unemployment rise 7,000 november 4.464 million people 10.8 workforce seasonally adjust rise show small rise expect government measure encourage job creation begin effect official say stagnant growth stifle job market clear sign revival domestic demand say frank-juergen_weise head the_federal_labour_agency statement growth 0.1 quarter insufficient deliver positive momentum labour market high oil price soar euro damage competitiveness exporter have negative effect say brunt unemployment feel eastern germany rate 18.8 unemployment stick 4 million year government chancellor gerhard_schroeder job creation agenda controversial package measure shake incentive work pay cut cherish benefit spark anger german worker strike number industry notably country iconic carmaker demonstrate displeasure fear job loss outsourcing take hold new initiative call euro job unemployment benefit scheme formal launch january hiring position take place affect unemployment statistic economist say deterioration labour market come surprise say isabelle_kronawitter hypovereinsbank job creation measure probably prevent strong increase seasonally adjust number",24,42,14.0,14.0,6.0,36,91,9.0,9.0,4.0,11,45,6.0,0.0,39,0.0,0.0,Business,1933,../input/bbc-full-text-document-classification/bbc/business/022.txt,0
B_023,1260,mixed signal french economy french economy pick speed end 2004 official figure looks set fall short government hope accord state statistic body insee growth month december seasonally adjust 0.7 0.8 ahead 0.6 forecast confirm well quarterly showing early 2002 leave gdp 2.3 year short 2.5 french government predict despite apparent shortfall annual economic growth good quarterly figure call flash estimate mark continue trend improve indicator health french economy government reiterate 2.5 target 2005 the_european_central_bank make positive noise 12 nation eurozone friday france industrial output december release show 0.7 growth number good say david_naude economist deutsche_bank send positive signal rebound output open way continuation trend new year service sector activity improve january hit seven month high unemployment remain high 10,21,28,8.0,10.0,4.0,28,56,14.0,3.0,4.0,11,36,4.0,1.0,23,0.0,0.0,Business,1267,../input/bbc-full-text-document-classification/bbc/business/023.txt,0
B_024,1947,trade gap hit record 2004 gap export import hit time high $ 671.7bn £ 484bn 2004 late figure the_commerce_department say trade deficit year 24.4 previous record 2003 imbalance $ 496.5bn deficit china 30.5 $ 162bn large record single country monthly basis trade gap narrow 4.9 december £ 56.4bn consumer appetite thing oil import car wine cheese reach record level year figure likely spark fresh criticism president bush economic policy democrats claim administration clamp unfair foreign trade practice example believe china currency policy manufacturer claim undervalue yuan 40 give china rapidly expand economy unfair advantage competitor bush administration argue deficit reflect fact america grow fast rate rest world spur demand import good economist allow upward revision economic growth fourth quarter point deficit reach astronomical proportion foreigner choose hold dollar denominate asset turn harm growth 2004 export rise 12.3 $ 1.15 trillion import rise fast 16.3 new record $ 1.76 trillion foreign oil export surge 35.7 record $ 180.7bn reflect rally global oil price increase domestic demand import affect dollar weakness year expect deficit continue widen 2005 dollar get downward trend say economist marie-pierre_ripert ixis,29,47,13.0,11.0,7.0,33,88,20.0,14.0,8.0,23,37,3.0,7.0,42,0.0,0.0,Business,1954,../input/bbc-full-text-document-classification/bbc/business/024.txt,0
B_025,2695,yukos lose bankruptcy battle judge dismiss attempt russian oil giant yukos gain bankruptcy protection yukos file chapter 11 protection houston unsuccessful attempt halt auction yugansk division russian authority court ruling blow effort damage sale yugansk yukos claim illegally sell separately yukos boss mikhail_khodorkovsky begin testimony friday trial fraud tax evasion mr khodorkovsky jail year plead guilty charge bring deny involvement criminal activity pride head 15 year number successful company help enterprise rise knee tell russian court yugansk auction help pay $ 27.5bn £ 14.5bn unpaid taxis buy $ 9.4bn previously unknown group turn buy immediately state control oil company rosneft texas judge letitia_clark say yukos presence establish jurisdiction vast majority business financial activity yukos continue occur russia judge clark say ruling activity require continue participation russian government yukos argue court entitle declare bankrupt yugansk unit sell local bank account chief finance officer bruce_misamore live houston yukos claim seek help forum russian court the_european_court_of_human_rights unfriendly offer protection russia indicate case abide ruling court ruling judge acknowledge appear likely agency russian government act manner consider confiscatory united_states law say role simply decide jurisdiction court jurisdiction challenge deutsche_bank gazpromneft unit russian gas monopoly gazprom merge rosneft analyst say ability gazprom_and_rosneft trade freely overseas stifle ownership yugansk remain unclear yukos say consider option light ruling claim court back argument key issue believe merit case strong simple say chief executive steven_theede asset illegally seize want damage pay,35,57,11.0,28.0,12.0,34,93,7.0,14.0,34.0,46,53,8.0,2.0,63,0.0,0.0,Business,2704,../input/bbc-full-text-document-classification/bbc/business/025.txt,0
B_026,1825,"safety alert gm recall car world big carmaker general_motors gm recall nearly 200,000 vehicle safety ground accord federal regulator the_national_highway_traffic_safety_administration nhtsa say large recall involve 155,465 pickup van sport utility vehicle suv possible malfunction braking system affected vehicle product recall 2004 2005 model year gm say vehicle potential fault chevrolet avalanche express kodiak silverade suburban gmc savana sierra yukon nhtsa say pressure accumulator brake system crack normal driving fragment injure people hood open allow hydraulic fluid leak hard brake steer cause crash warn gm recall 19,924 cadillac xlr coupe srx suv pontiac_grand_prix sedan 2004 model year accelerator pedal work properly extremely cold temperature require braking addition car giant call 17,815 buick_raniers chevrolet_trailblazers gmc_envoys isuzu_ascenders 2005 model year windshield properly fit fall crash gm stress know injury relate problem news recall follow announcement month gm expect earning year low 2004 world big car maker grapple loss european business weak sale product recall january gm say high healthcare cost north america low profit financial service subsidiary hurt performance 2005",20,28,8.0,20.0,12.0,28,73,10.0,7.0,10.0,34,39,6.0,0.0,31,0.0,0.0,Business,1829,../input/bbc-full-text-document-classification/bbc/business/026.txt,0
